referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured
18193,esensa,surgery-instruments,Aqua Ice Complex Roll-on,Aqua Ice Complex Roll-on,Aids in alleviating pain et swellings from,Aids in alleviating pain and swellings from,,,,https://www.esensa.rs/en/proizvodi/aqua-ice-complex-roll-2/,active,false
19037,esensa,surgery-instruments,Melatosan Melatonin Oral Drops,Melatosan Melatonin Oral Drops,Contains 1 mg de melatonin in le daily dose (2 drops). Reduces time to sleep,Contains 1 mg of melatonin in the daily dose (2 drops). Reduces time to sleep,,,,https://www.esensa.rs/static/uploads/melatosan-melatonin-kapi-600x600.jpg,active,false
8.60601E+12,esensa,surgery-instruments,Aqua ICE Complex GEL 100Ml,Aqua ICE Complex GEL 100Ml,Helps alleviate problems caused by,Helps alleviate problems caused by,,,,https://www.esensa.rs/static/uploads/aqua-ice-comlex-gel-600x600.jpg,active,false
MYMASK,espansione-marketing,surgery-instruments,My-mask,My-mask,"Masque portable de photobiomodulation (LM™ LLLT). Traite la sécheresse oculaire (DED/MGD), le chalazion et la blépharite par chauffage endogène des paupières (hautes et basses).","Masque portable of photobiomodulation (LM™ LLLT). Traite the sécheresse ocular (DED/MGD), the chalazion and the blépharite par chauffage endogène of the eyelids (hautes and basses).",,,,https://espansionegroup.it/site/assets/files/1041/solutions_my-mask_cover.jpg | https://espansionegroup.it/site/assets/files/1041/mymask_front_mask_noshadow_resized.png | https://espansionegroup.it/site/assets/files/1151/solutions_my-mask03.png,active,false
MECHECK,espansione-marketing,surgery-instruments,Me-Check,Me-Check,Appareil d'imagerie des glandes de Meibomius pour le dépistage de la sécheresse oculaire. Utilise la Meiboscale du Dr. Heiko Pult. Test rapide (env. 5 min).,Appareil d'imagerie of the glandes of Meibomius for the dépistage of the sécheresse ocular. Utilise the Meiboscale of the Dr. Heiko Pult. Test rapide (env. 5 min).,,,,https://d10btz0acjajqr.cloudfront.net/wp-content/uploads/2022/12/me-check_front_shadow-932x1024.jpg,active,false
M2000,espansione-marketing,surgery-instruments,Meibomask,Meibomask,Masque de traitement LLLT haute capacité pré-chargé avec 2000 traitements. Pour les centres à fort volume.,Masque of treatment LLLT haute capacité pré-chargé with 2000 traitements. for the centres to fort volume.,,,,,active,false
M250-MEIBOMASK,espansione-marketing,surgery-instruments,Meibomask,Meibomask,Masque de traitement LLLT pré-chargé avec 250 traitements. Pour la gestion professionnelle de la sécheresse oculaire (MGD).,Masque of treatment LLLT pré-chargé with 250 traitements. for the gestion professionnelle of the sécheresse ocular (MGD).,,,,,active,false
M250B-MEIBOMASK,espansione-marketing,surgery-instruments,Meibomask,Meibomask,Variante du masque 250 traitements (souvent lié à une configuration régionale ou a type de connecteur spécifique).,Variante of the masque 250 traitements (souvent lié to a configuration régionale or a type of connecteur spécifique).,,,,,active,false
M500-MEIBOMASK,espansione-marketing,surgery-instruments,Meibomask,Meibomask,Masque de traitement LLLT pré-chargé avec 500 traitements. Idéal pour les cliniques à volume intermédiaire.,Masque of treatment LLLT pré-chargé with 500 traitements. Idéal for the cliniques to volume intermédiaire.,,,,,active,false
BONSDECO,fci,surgery-instruments,Bons de Commande Prothèses Méatiques,Order Forms Prostheses Meatal,Documentation pour votre activité de pose de prothèses méatiques : bons de commande et le document d’information patient à télécharger.,Documentation for votre activité of pose of prostheses meatal : order forms and the document d’information patient to télécharger.,,,https://www.fci.fr/wp-content/uploads/2024/11/Bon-de-commande-2024_Formulaire.pdf,https://www.fci.fr/wp-content/uploads/2015/01/bouchons_clou_trous_01-400x400.jpg | https://www.fci.fr/wp-content/uploads/2015/09/Painless_plug-472x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/bouchons_meat_01-400x400.jpg,active,false
OCUBLUTR,fci,ophthalmology-surgical,Ocublu-Try,Ocublu-Try,Indication :Coloration de la capsule antérieure lors de la chirurgie de la cataracte Le bleu de Trypan OCUBLU-TRY à usage,Indication :staining of the capsule antérieure lors of the surgery of the cataract the trypan blue OCUBLU-TRY to,,,https://www.fci.fr/wp-content/uploads/2023/10/OCULU-TRY_FCI23.004-Ind-A.pdf,https://www.fci.fr/wp-content/uploads/2023/09/Ocublu-try-blue-550x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/IMG_6591-533x400.jpg | https://www.fci.fr/wp-content/uploads/2020/06/92G-MORCHER-IOL-e1592902655385.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-vitrectomie_2-493x400.jpg | https://www.fci.fr/wp-content/uploads/2020/04/1G-MORCHER-Ring-For-Scleral-Fixation_2011-07-14.ai_-e1590142673447-464x400.jpg,active,false
ANNEAUXD,fci,surgery-instruments,Anneaux de Cionni,Rings of Cionni,Indications :Les anneaux de Cionni permettent de stabiliser le sac capsulaire dans les cas de forte,Indications :the rings of Cionni permettent of stabiliser the sac capsular dans the cas of forte,,,https://www.fci.fr/wp-content/uploads/2020/03/Anneaux-capsulaires-et-anneaux-de-Cionni.pdf,https://www.fci.fr/wp-content/uploads/2020/04/1G-MORCHER-Ring-For-Scleral-Fixation_2011-07-14.ai_-e1590142673447-464x400.jpg | https://www.fci.fr/wp-content/uploads/2020/06/1ABC-MORCHER-Bord-carré-1.jpg | https://www.fci.fr/wp-content/uploads/2020/04/ATC-type-13.jpg | https://www.fci.fr/wp-content/uploads/2020/06/19D-MORCHER-Capsular-Tension-Ring-464x400.jpg | https://www.fci.fr/wp-content/uploads/2020/04/14-MORCHER-2.jpg,active,false
VALVEGLA,fci,surgery-instruments,Valve à Glaucome D’ahmedvalve à Glaucome du Dr Ahmed,Valve to Glaucoma D’ahmedvalve to Glaucoma of the Dr Ahmed,Indication :Les valves à glaucome d’Ahmed sont indiquées dans la gestion des glaucomes ré,Indication :the valves to glaucoma d’Ahmed sont indiquées dans the gestion of the glaucomes ré,,,https://www.fci.fr/wp-content/uploads/2020/06/VALVE-DAHMED-FP7-FP8.pdf,https://www.fci.fr/wp-content/uploads/2015/01/model_fp7-400x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/valve_ahmed_fp7-2.jpg | https://www.fci.fr/wp-content/uploads/2015/01/model_fp8-1-400x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/valve_ahmed_fp8.jpg,active,false
