referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured
2208-L-7008,keeler,surgery-instruments,Keeler Pulsair – Easyeye Printer Paper,Keeler Pulsair – Easyeye Printer Paper,Un everyday essential item pour your Pulsair IntelliPuffReplacement paper reel compatible avec le EasyEye,An everyday essential item for your Pulsair IntelliPuffReplacement paper reel compatible with the EasyEye,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/2208-L-7008-7-jpg.webp,active,false
24-3000/24-3000-V,keeler,ophthalmology-diagnostic,Accupen Handheld Tonomètre,Accupen Handheld Tonometer,Précis IOP,Accurate IOP,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/24-3000-24-3000-V_4-1.webp,active,false
24-3020,keeler,surgery-instruments,Clear Holder pour Accupen et Pachpen,Clear Holder for Accupen and Pachpen,Un clear table top holder pour your pachmetry productsA clear courbe tabletop holder that is designed to comfortably hold both le PachPen handheld pachymètre et AccuPen handheld tonomètre while not in use.,A clear table top holder for your pachmetry productsA clear curved tabletop holder that is designed to comfortably hold both the PachPen handheld pachymeter and AccuPen handheld tonometer while not in use.,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/24-3020-7-jpg.webp,active,false
24-4001,keeler,ophthalmology-surgical,Un-scan Sonde à Ultrasons,A-scan Ultrasound Probe,Haute qualité visuals et précis biometric,High quality visuals and accurate biometric,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/a-scan-jpg.webp,active,false
24-4400/24-4400V,keeler,ophthalmology-diagnostic,Un-scan Plus Connect: Sonda de Ultrasonidos Y Unidad de Interfaz,A-scan Plus Connect: Sonda of Ultrasonidos Y Unidad of Interfaz,Imágenes de alta calidad y mediciones biométricas precisas bajo demandaLa cirugía de cataratas más exigente requiere a equipo potente y el a-Scan es la solución más eficaz para,Imágenes of alta calidad y mediciones biométricas precisas bajo demandaLa cirugía of cataratas más exigente requiere a equipo potente y el A-Scan es la solución más eficaz para,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/24-4400-24-4400V-7-jpg.webp,active,false
24-5100/24-5100-V,keeler,surgery-instruments,Pachpen Handheld Pachymètre,Pachpen Handheld Pachymeter,Le perfect combination de,The perfect combination of,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/24-510024-5100-V_5-jpg.webp,active,false
24-5101,keeler,surgery-instruments,Batería de Litio Accupen Y Pachpen,Batería of Litio Accupen Y Pachpen,Una Batería de litio de 3.6 voltios para sus productos de paquimetríaUna Batería de litio de 3.6 voltios para el AccuPen y el PachPen. 1/2 Batería AA. Mide 24 mm de largo y 14 mm de diámetro. Ayudando a nuestros clientes a poner fin a la pérdida de visión evitable. KeelerClewer Hill,Una Batería of litio of 3.6 voltios para sus productos of paquimetríaUna Batería of litio of 3.6 voltios para el AccuPen y el PachPen. 1/2 Batería AA. Mide 24 mm of largo y 14 mm of diámetro. Ayudando a nuestros clientes a poner fin a la pérdida of visión evitable. KeelerClewer Hill,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/24-5101-7-jpg.webp,active,false
24-5107,keeler,surgery-instruments,Accupen et Pachpen Screwdriver,Accupen and Pachpen Screwdriver,Open et close le batterie door on your pachmetry products avec easeUse this white-handled screwdriver to open et close le batterie door on le AccuPen handheld tonomètre et PachPen handheld pachymètre.,Open and close the battery door on your pachmetry products with easeUse this white-handled screwdriver to open and close the battery door on the AccuPen handheld tonometer and PachPen handheld pachymeter.,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/24-5107-7-jpg.webp,active,false
24-6100,keeler,ophthalmology-surgical,B-scan Plus Connect – Sonde à Ultrasons et Interface Unité,B-scan Plus Connect – Ultrasound Probe and Interface Unit,Cutting,Cutting,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/connect_screen-2.png,active,false
24-6300-G / 24-6300-G-V,keeler,surgery-instruments,UBM Plus Connect – Sonde à Ultrasons et Interface Unité,UBM Plus Connect – Ultrasound Probe and Interface Unit,Capture crystal clear images avec a wide scope de imagingHaving trust et familiarity in your tools is crucial to performing ultrasons examinations avec confidence. That’s why our ultrasons biomicroscipy (UBM) sonde works on le same modality et uses similar measuring callipers as our B-scan,Capture crystal clear images with a wide scope of imagingHaving trust and familiarity in your tools is crucial to performing ultrasound examinations with confidence. That’s why our ultrasound biomicroscipy (UBM) probe works on the same modality and uses similar measuring callipers as our B-scan,,,,https://www.keelerglobal.com/wp-content/uploads/2024/02/UBM-PLUS-CONNECT-jpg.webp,active,false
